Class,Spec,ItemName,Slot,Rank,Source,Website
warlock,affliction,Ravager's Cuffs of Shadow Wrath,wrist,1,Karazhan,wowtbc.gg
warlock,affliction,Elementalist Bracelets of Shadow Wrath,wrist,2,Auction House,wowtbc.gg
warlock,affliction,Bracers of Havok,wrist,3,Tailoring,wowtbc.gg
warlock,affliction,Crimson Bracers of Gloom,wrist,4,Ramparts (HC),wowtbc.gg
warlock,affliction,General's Silk Cuffs,wrist,5,Honor & WSG Marks,wowtbc.gg
warlock,affliction,Bands of Nefarious Deeds,wrist,6,Karazhan,wowtbc.gg
warlock,affliction,Rockfury Bracers,wrist,7,Rep - Cenarion Circle - Revered,wowtbc.gg
warlock,affliction,Bands of Negation,wrist,8,Mana-Tombs (HC),wowtbc.gg
warlock,affliction,Anger-Spark Gloves,hands,1,World Boss,wowtbc.gg
warlock,affliction,Handwraps of Flowing Thought,hands,2,Karazhan,wowtbc.gg
warlock,affliction,Soul-Eater's Handwraps,hands,3,Magtheridon's Lair,wowtbc.gg
warlock,affliction,Manaspark Gloves,hands,4,Underbog,wowtbc.gg
warlock,affliction,Gloves of the Deadwatcher,hands,5,Auchenai Crypts (HC),wowtbc.gg
warlock,affliction,Gloves of Oblivion,hands,6,Shattered Halls,wowtbc.gg
warlock,affliction,Gloves of the Fallen Hero,hands,7,Karazhan,wowtbc.gg
warlock,affliction,Mana-Etched Gloves,hands,8,Ramparts (HC),wowtbc.gg
warlock,affliction,Girdle of Ruination,waist,1,Tailoring,wowtbc.gg
warlock,affliction,Lurker's Cord of Shadow Wrath,waist,2,Karazhan,wowtbc.gg
warlock,affliction,Belt of Divine Inspiration,waist,3,Gruul's Lair,wowtbc.gg
warlock,affliction,Belt of Depravity,waist,4,Arcatraz (HC),wowtbc.gg
warlock,affliction,Glyph-Lined Sash,waist,5,Mana-Tombs (HC),wowtbc.gg
warlock,affliction,Malefic Girdle,waist,6,Karazhan,wowtbc.gg
warlock,affliction,Unyielding Girdle,waist,7,Tailoring,wowtbc.gg
warlock,affliction,A'dal's Gift,waist,8,Quest - How to Break Into the Arcatraz,wowtbc.gg
warlock,affliction,Leggings of the Seventh Circle,legs,1,World Boss,wowtbc.gg
warlock,affliction,Spellstrike Pants,legs,2,Tailoring,wowtbc.gg
warlock,affliction,Leggings of the Fallen Hero,legs,3,Gruul's Lair,wowtbc.gg
warlock,affliction,Trial-Fire Trousers,legs,4,Karazhan,wowtbc.gg
warlock,affliction,Breeches of the Occultist,legs,5,Black Morass (HC),wowtbc.gg
warlock,affliction,Kirin Tor Master's Trousers,legs,6,Shadow Labyrinth (HC),wowtbc.gg
warlock,affliction,Khadgar's Kilt of Abjuration,legs,7,Black Morass,wowtbc.gg
warlock,affliction,Gilded Trousers of Benediction,legs,8,World Boss,wowtbc.gg
warlock,affliction,Frozen Shadoweave Boots,feet,1,Tailoring,wowtbc.gg
warlock,affliction,Ruby Slippers,feet,2,Karazhan,wowtbc.gg
warlock,affliction,Boots of Foretelling,feet,3,Karazhan,wowtbc.gg
warlock,affliction,Shattrath Jumpers,feet,4,Quest - Into the Heart of the Labyrinth,wowtbc.gg
warlock,affliction,Extravagant Boots of Malice,feet,5,Mana-Tombs (HC),wowtbc.gg
warlock,affliction,Sigil-Laced Boots,feet,6,Arcatraz,wowtbc.gg
warlock,affliction,Shimmering Azure Boots,feet,7,Quest - Securing the Celestial Ridge,wowtbc.gg
warlock,affliction,Boots of the Nexus Warden,feet,8,Quest - The Flesh Lies...,wowtbc.gg
warlock,affliction,Band of Crimson Fury,finger,1,Quest - The Fall of Magtheridon,wowtbc.gg
warlock,affliction,Ring of the Fallen God,finger,2,Quest - The Savior of Kalimdor,wowtbc.gg
warlock,affliction,Ashyen's Gift,finger,3,Rep - Cenarion Expedition - Exalted,wowtbc.gg
warlock,affliction,Band of the Inevitable,finger,4,Naxxramas,wowtbc.gg
warlock,affliction,Ring of Recurrence,finger,5,Karazhan,wowtbc.gg
warlock,affliction,Sparking Arcanite Ring,finger,6,Old Hillsbrad Foothills (HC),wowtbc.gg
warlock,affliction,Violet Signet of the Archmage,finger,7,Rep - The Violet Eye - Exalted,wowtbc.gg
warlock,affliction,Seal of the Exorcist,finger,8,Spirit Shards (50),wowtbc.gg
warlock,affliction,Seer's Signet,finger,9,Rep - The Scryers - Exalted,wowtbc.gg
warlock,affliction,Icon of the Silver Crescent,trinket,1,Badge of Justice (41),wowtbc.gg
warlock,affliction,Quagmirran's Eye,trinket,2,Slave Pens (HC),wowtbc.gg
warlock,affliction,Eye of Magtheridon,trinket,3,Magtheridon's Lair,wowtbc.gg
warlock,affliction,The Restrained Essence of Sapphiron,trinket,4,Naxxramas,wowtbc.gg
warlock,affliction,Arcanist's Stone,trinket,5,Old Hillsbrad Foothills (HC),wowtbc.gg
warlock,affliction,Scryer's Bloodgem,trinket,6,Rep - The Scryers - Revered,wowtbc.gg
warlock,affliction,Neltharion's Tear,trinket,7,Blackwing Lair,wowtbc.gg
warlock,affliction,Glowing Crystal Insignia,trinket,8,Quest - Overlord Gorefist,wowtbc.gg
warlock,affliction,Starkiller's Bauble,trinket,9,Quest - The Horrors of Pollution,wowtbc.gg
warlock,affliction,Talon of the Tempest,weapon,1,World Boss,wowtbc.gg
warlock,affliction,Bloodmaw Magus-Blade,weapon,2,Gruul's Lair,wowtbc.gg
warlock,affliction,Nathrezim Mindblade,weapon,3,Karazhan,wowtbc.gg
warlock,affliction,Gladiator's Spellblade,weapon,4,PvP,wowtbc.gg
warlock,affliction,Eternium Runed Blade,weapon,5,Blacksmithing,wowtbc.gg
warlock,affliction,Staff of Infinite Mysteries,weapon,6,Karazhan,wowtbc.gg
warlock,affliction,Stormcaller,weapon,7,Rep - Thrallmar - Exalted (H),wowtbc.gg
warlock,affliction,Blade of Wizardry,weapon,8,Auction House,wowtbc.gg
warlock,affliction,Jewel of Infinite Possibilities,off hand,1,Karazhan,wowtbc.gg
warlock,affliction,Khadgar's Knapsack,off hand,2,Badge of Justice (25),wowtbc.gg
warlock,affliction,Orb of the Soul-Eater,off hand,3,Badge of Justice (25),wowtbc.gg
warlock,affliction,Lamp of Peaceful Radiance,off hand,4,Arcatraz,wowtbc.gg
warlock,affliction,Draenei Crystal Rod of Shadow Wrath,off hand,5,Auction House,wowtbc.gg
warlock,affliction,Sapphiron's Left Eye,off hand,6,Naxxramas,wowtbc.gg
warlock,affliction,Talisman of Nightbane,off hand,7,Karazhan,wowtbc.gg
warlock,affliction,Karaborian Talisman,off hand,8,Magtheridon's Lair,wowtbc.gg
warlock,affliction,Tirisfal Wand of Ascendancy,ranged,1,Karazhan,wowtbc.gg
warlock,affliction,Eredar Wand of Obliteration,ranged,2,Magtheridon's Lair,wowtbc.gg
warlock,affliction,The Black Stalk,ranged,3,Underbog (HC),wowtbc.gg
warlock,affliction,Nether Core's Control Rod,ranged,4,Arcatraz,wowtbc.gg
warlock,affliction,Flawless Wand of Shadow Wrath,ranged,5,Auction House,wowtbc.gg
warlock,affliction,Wand of Fates,ranged,6,Naxxramas,wowtbc.gg
warlock,affliction,Doomfinger,ranged,7,Naxxramas,wowtbc.gg
warlock,affliction,Voidfire Wand,ranged,8,Mana-Tombs,wowtbc.gg
mage,arcane,Helm of the Fallen Hero,head,1,Karazhan,wowtbc.gg
mage,arcane,Uni-Mind Headdress,head,2,Karazhan,wowtbc.gg
mage,arcane,Hood of Oblivion,head,3,Arcatraz,wowtbc.gg
mage,arcane,Mana-Binders Cowl,head,4,Badge of Justice (50),wowtbc.gg
mage,arcane,Incanter's Cowl,head,5,Mechanar,wowtbc.gg
mage,arcane,Spellstrike Hood,head,6,Tailoring,wowtbc.gg
mage,arcane,Hydromancer's Headwrap,head,7,Quest - The Warlord's Hideout,wowtbc.gg
mage,arcane,Gladiator's Silk Cowl,head,8,PvP,wowtbc.gg
mage,arcane,Brooch of Unquenchable Fury,neck,1,Karazhan,wowtbc.gg
mage,arcane,Hydra-fang Necklace,neck,2,Underbog (HC),wowtbc.gg
mage,arcane,Adornment of Stolen Souls,neck,3,Karazhan,wowtbc.gg
mage,arcane,Brooch of Heightened Potential,neck,4,Shadow Labyrinth,wowtbc.gg
mage,arcane,Manasurge Pendant,neck,5,Badge of Justice (25),wowtbc.gg
mage,arcane,Torc of the Sethekk Prophet,neck,6,Quest - Brother Against Brother,wowtbc.gg
mage,arcane,Archaic Charm of Presence,neck,7,World Boss,wowtbc.gg
mage,arcane,Natasha's Ember Necklace,neck,8,Quest - The Hound-Master,wowtbc.gg
mage,arcane,Pauldrons of the Fallen Hero,shoulder,1,Gruul's Lair,wowtbc.gg
mage,arcane,Mantle of Three Terrors,shoulder,2,Black Morass,wowtbc.gg
mage,arcane,Gladiator's Silk Amice,shoulder,3,PvP,wowtbc.gg
mage,arcane,Mana-Etched Spaulders,shoulder,4,Slave Pens (HC),wowtbc.gg
mage,arcane,High Warlord's Silk Amice,shoulder,5,PvP,wowtbc.gg
mage,arcane,Spaulders of Oblivion,shoulder,6,Shadow Labyrinth,wowtbc.gg
mage,arcane,Mantle of the Mind Flayer,shoulder,7,Karazhan,wowtbc.gg
mage,arcane,Rime Covered Mantle,shoulder,8,Naxxramas,wowtbc.gg
mage,arcane,Ruby Drape of the Mysticant,back,1,Karazhan,wowtbc.gg
mage,arcane,Sethekk Oracle Cloak,back,2,Sethekk Halls,wowtbc.gg
mage,arcane,Brute Cloak of the Ogre-Magi,back,3,Gruul's Lair,wowtbc.gg
mage,arcane,Ancient Spellcloak of the Highborne,back,4,World Boss,wowtbc.gg
mage,arcane,Cloak of the Necropolis,back,5,Naxxramas,wowtbc.gg
mage,arcane,Shadow-Cloak of Dalaran,back,6,Karazhan,wowtbc.gg
mage,arcane,Cloak of Entropy,back,7,Auction House,wowtbc.gg
mage,arcane,Cloak of the Devoured,back,8,Ahn'Qiraj,wowtbc.gg
mage,arcane,Auchenai Anchorite's Robe,chest,1,Quest - Everything Will Be Alright,wowtbc.gg
mage,arcane,Robe of the Crimson Order,chest,2,Auction House,wowtbc.gg
mage,arcane,Spellfire Robe,chest,3,Tailoring,wowtbc.gg
mage,arcane,Warp Infused Drape,chest,4,Botanica,wowtbc.gg
mage,arcane,Chestguard of the Fallen Hero,chest,5,Magtheridon's Lair,wowtbc.gg
mage,arcane,Will of Edward the Odd,chest,6,Auction House,wowtbc.gg
mage,arcane,Vermillion Robes of the Dominant,chest,7,Steamvaults,wowtbc.gg
mage,arcane,Mana-Etched Vestments,chest,8,Old Hillsbrad Foothills,wowtbc.gg
mage,arcane,Crimson Bracers of Gloom,wrist,1,Ramparts (HC),wowtbc.gg
mage,arcane,General's Silk Cuffs,wrist,2,Honor & WSG Marks,wowtbc.gg
mage,arcane,Bands of Nefarious Deeds,wrist,3,Karazhan,wowtbc.gg
mage,arcane,Bands of Negation,wrist,4,Mana-Tombs (HC),wowtbc.gg
mage,arcane,Bracers of Havok,wrist,5,Tailoring,wowtbc.gg
mage,arcane,Harbinger Bands,wrist,6,Karazhan,wowtbc.gg
mage,arcane,Bands of Rarefied Magic,wrist,7,Shattered Halls (HC),wowtbc.gg
mage,arcane,Shattrath Wraps,wrist,8,Quest - The Soul Devices,wowtbc.gg
mage,arcane,Handwraps of Flowing Thought,hands,1,Karazhan,wowtbc.gg
mage,arcane,Gloves of the Fallen Hero,hands,2,Karazhan,wowtbc.gg
mage,arcane,Anger-Spark Gloves,hands,3,World Boss,wowtbc.gg
mage,arcane,Soul-Eater's Handwraps,hands,4,Magtheridon's Lair,wowtbc.gg
mage,arcane,Spellfire Gloves,hands,5,Tailoring,wowtbc.gg
mage,arcane,Gloves of the Deadwatcher,hands,6,Auchenai Crypts (HC),wowtbc.gg
mage,arcane,Gloves of Oblivion,hands,7,Shattered Halls,wowtbc.gg
mage,arcane,Gloves of Pandemonium,hands,8,Auction House,wowtbc.gg
mage,arcane,Spellfire Belt,waist,1,Tailoring,wowtbc.gg
mage,arcane,Belt of Depravity,waist,2,Arcatraz (HC),wowtbc.gg
mage,arcane,Belt of Divine Inspiration,waist,3,Gruul's Lair,wowtbc.gg
mage,arcane,Girdle of Ruination,waist,4,Tailoring,wowtbc.gg
mage,arcane,Glyph-Lined Sash,waist,5,Mana-Tombs (HC),wowtbc.gg
mage,arcane,Sash of Serpentra,waist,6,Steamvaults,wowtbc.gg
mage,arcane,Malefic Girdle,waist,7,Karazhan,wowtbc.gg
mage,arcane,A'dal's Gift,waist,8,Quest - How to Break Into the Arcatraz,wowtbc.gg
mage,arcane,Leggings of the Seventh Circle,legs,1,World Boss,wowtbc.gg
mage,arcane,Leggings of the Fallen Hero,legs,2,Gruul's Lair,wowtbc.gg
mage,arcane,Spellstrike Pants,legs,3,Tailoring,wowtbc.gg
mage,arcane,Trial-Fire Trousers,legs,4,Karazhan,wowtbc.gg
mage,arcane,Breeches of the Occultist,legs,5,Black Morass (HC),wowtbc.gg
mage,arcane,Kirin Tor Master's Trousers,legs,6,Shadow Labyrinth (HC),wowtbc.gg
mage,arcane,Aran's Sorcerous Slacks,legs,7,Old Hillsbrad Foothills (HC),wowtbc.gg
mage,arcane,Trousers of Oblivion,legs,8,Sethekk Halls,wowtbc.gg
mage,arcane,Ruby Slippers,feet,1,Karazhan,wowtbc.gg
mage,arcane,Boots of Foretelling,feet,2,Karazhan,wowtbc.gg
mage,arcane,Extravagant Boots of Malice,feet,3,Mana-Tombs (HC),wowtbc.gg
mage,arcane,Shimmering Azure Boots,feet,4,Quest - Securing the Celestial Ridge,wowtbc.gg
mage,arcane,Boots of the Nexus Warden,feet,5,Quest - The Flesh Lies...,wowtbc.gg
mage,arcane,Sigil-Laced Boots,feet,6,Arcatraz,wowtbc.gg
mage,arcane,Boots of Blasphemy,feet,7,Slave Pens (HC),wowtbc.gg
mage,arcane,General's Silk Footguards,feet,8,PvP,wowtbc.gg
mage,arcane,Band of Crimson Fury,finger,1,Quest - The Fall of Magtheridon,wowtbc.gg
mage,arcane,Violet Signet of the Archmage,finger,2,Rep - The Violet Eye - Exalted,wowtbc.gg
mage,arcane,Sparking Arcanite Ring,finger,3,Old Hillsbrad Foothills (HC),wowtbc.gg
mage,arcane,Ashyen's Gift,finger,4,Rep - Cenarion Expedition - Exalted,wowtbc.gg
mage,arcane,Ring of Recurrence,finger,5,Karazhan,wowtbc.gg
mage,arcane,Spectral Band of Innervation,finger,6,Karazhan,wowtbc.gg
mage,arcane,Ring of the Fallen God,finger,7,Quest - The Savior of Kalimdor,wowtbc.gg
mage,arcane,Ring of Cryptic Dreams,finger,8,Badge of Justice (25),wowtbc.gg
mage,arcane,Cobalt Band of Tyrigosa,finger,9,Mana-Tombs (HC),wowtbc.gg
mage,arcane,Icon of the Silver Crescent,trinket,1,Badge of Justice (41),wowtbc.gg
mage,arcane,The Lightning Capacitor,trinket,2,Karazhan,wowtbc.gg
mage,arcane,Quagmirran's Eye,trinket,3,Slave Pens (HC),wowtbc.gg
mage,arcane,Scryer's Bloodgem,trinket,4,Rep - The Scryers - Revered,wowtbc.gg
mage,arcane,Eye of Magtheridon,trinket,5,Magtheridon's Lair,wowtbc.gg
mage,arcane,The Restrained Essence of Sapphiron,trinket,6,Naxxramas,wowtbc.gg
mage,arcane,Neltharion's Tear,trinket,7,Blackwing Lair,wowtbc.gg
mage,arcane,Pendant of the Violet Eye,trinket,8,Karazhan,wowtbc.gg
mage,arcane,Shiffar's Nexus-Horn,trinket,9,Arcatraz,wowtbc.gg
mage,arcane,Talon of the Tempest,weapon,1,World Boss,wowtbc.gg
mage,arcane,Nathrezim Mindblade,weapon,2,Karazhan,wowtbc.gg
mage,arcane,Bloodmaw Magus-Blade,weapon,3,Gruul's Lair,wowtbc.gg
mage,arcane,Gladiator's Spellblade,weapon,4,PvP,wowtbc.gg
mage,arcane,Eternium Runed Blade,weapon,5,Blacksmithing,wowtbc.gg
mage,arcane,Staff of Infinite Mysteries,weapon,6,Karazhan,wowtbc.gg
mage,arcane,Stormcaller,weapon,7,Rep - Thrallmar - Exalted (H),wowtbc.gg
mage,arcane,Terokk's Shadowstaff,weapon,8,Sethekk Halls (HC),wowtbc.gg
mage,arcane,Jewel of Infinite Possibilities,off hand,1,Karazhan,wowtbc.gg
mage,arcane,Lamp of Peaceful Radiance,off hand,2,Arcatraz,wowtbc.gg
mage,arcane,Star-Heart Lamp,off hand,3,Black Morass,wowtbc.gg
mage,arcane,Talisman of Kalecgos,off hand,4,Badge of Justice (25),wowtbc.gg
mage,arcane,Karaborian Talisman,off hand,5,Magtheridon's Lair,wowtbc.gg
mage,arcane,Talisman of Nightbane,off hand,6,Karazhan,wowtbc.gg
mage,arcane,Sapphiron's Left Eye,off hand,7,Naxxramas,wowtbc.gg
mage,arcane,The Saga of Terokk,off hand,8,Quest - Terokk's Legacy,wowtbc.gg
mage,arcane,Tirisfal Wand of Ascendancy,ranged,1,Karazhan,wowtbc.gg
mage,arcane,Nether Core's Control Rod,ranged,2,Arcatraz,wowtbc.gg
mage,arcane,Eredar Wand of Obliteration,ranged,3,Magtheridon's Lair,wowtbc.gg
mage,arcane,Voidfire Wand,ranged,4,Mana-Tombs,wowtbc.gg
mage,arcane,Rod of Dire Shadows,ranged,5,Quest - The Will of the Warchief,wowtbc.gg
mage,arcane,Nexus Torch,ranged,6,Shattered Halls,wowtbc.gg
mage,arcane,Gladiator's Touch of Defeat,ranged,7,PvP,wowtbc.gg
mage,arcane,Wand of the Seer,ranged,8,Quest - Turning Point (Scryers),wowtbc.gg
warrior,arms,Malefic Mask of the Shadows,head,1,Gruul's Lair,wowtbc.gg
warrior,arms,Helm of the Fallen Defender,head,2,Karazhan,wowtbc.gg
warrior,arms,Mask of the Deceiver,head,3,Badge of Justice (50),wowtbc.gg
warrior,arms,Wastewalker Helm,head,4,Old Hillsbrad Foothills (HC),wowtbc.gg
warrior,arms,Cowl of Defiance,head,5,Karazhan,wowtbc.gg
warrior,arms,Helm of the Claw,head,6,Quest - The Warlord's Hideout,wowtbc.gg
warrior,arms,Overlord's Helmet of Second Sight,head,7,"Quest - Teron Gorefiend, I am...",wowtbc.gg
warrior,arms,Mask of Veiled Death,head,8,Auction House,wowtbc.gg
warrior,arms,Choker of Vile Intent,neck,1,Badge of Justice (25),wowtbc.gg
warrior,arms,Worgen Claw Necklace,neck,2,Karazhan,wowtbc.gg
warrior,arms,Necklace of Trophies,neck,3,Auction House,wowtbc.gg
warrior,arms,Traitor's Noose,neck,4,Slave Pens (HC),wowtbc.gg
warrior,arms,Natasha's Choker,neck,5,Quest - The Hound-Master,wowtbc.gg
warrior,arms,Bone Chain Necklace,neck,6,Underbog (HC),wowtbc.gg
warrior,arms,Insignia of the Mag'hari Hero,neck,7,Quest - Hero of the Mag'har (H),wowtbc.gg
warrior,arms,Earthen Mark of Razing,neck,8,Quest - Gurok the Usurper,wowtbc.gg
warrior,arms,Ripfiend Shoulderplates,shoulder,1,World Boss,wowtbc.gg
warrior,arms,Pauldrons of the Fallen Defender,shoulder,2,Gruul's Lair,wowtbc.gg
warrior,arms,Bladed Shoulderpads of the Merciless,shoulder,3,Karazhan,wowtbc.gg
warrior,arms,Mantle of Perenolde,shoulder,4,Old Hillsbrad Foothills,wowtbc.gg
warrior,arms,Ragesteel Shoulders,shoulder,5,Blacksmithing,wowtbc.gg
warrior,arms,Expedition Scout's Epaulets,shoulder,6,Quest - Fel Embers (A),wowtbc.gg
warrior,arms,Wastewalker Shoulderpads,shoulder,7,Auchenai Crypts (HC),wowtbc.gg
warrior,arms,Talbuk Hide Spaulders,shoulder,8,Rep - The Mag'har - Revered (H),wowtbc.gg
warrior,arms,Drape of the Dark Reavers,back,1,Karazhan,wowtbc.gg
warrior,arms,Black-Iron Battlecloak,back,2,World Boss,wowtbc.gg
warrior,arms,Cloak of the Inciter,back,3,Shadow Labyrinth,wowtbc.gg
warrior,arms,Vengeance Wrap,back,4,Tailoring,wowtbc.gg
warrior,arms,Auchenai Death Shroud,back,5,Auchenai Crypts (HC),wowtbc.gg
warrior,arms,Royal Cloak of Arathi Kings,back,6,Karazhan,wowtbc.gg
warrior,arms,Cloak of the Pit Stalker,back,7,Magtheridon's Lair,wowtbc.gg
warrior,arms,Cloak of the Craft,back,8,Auction House,wowtbc.gg
warrior,arms,Terrorweave Tunic,chest,1,World Boss,wowtbc.gg
warrior,arms,Chestguard of the Conniver,chest,2,Karazhan,wowtbc.gg
warrior,arms,Primalstrike Vest,chest,3,Leatherworking,wowtbc.gg
warrior,arms,Gladiator's Plate Chestpiece,chest,4,PvP,wowtbc.gg
warrior,arms,Chestguard of the Fallen Defender,chest,5,Magtheridon's Lair,wowtbc.gg
warrior,arms,Chestplate of A'dal,chest,6,Quest - Special Delivery to Shattrath City,wowtbc.gg
warrior,arms,Ebon Netherscale Breastplate,chest,7,Leatherworking,wowtbc.gg
warrior,arms,Blackened Chestplate,chest,8,Quest - Showdown,wowtbc.gg
warrior,arms,Bladespire Warbands,wrist,1,Gruul's Lair,wowtbc.gg
warrior,arms,Black Felsteel Bracers,wrist,2,Blacksmithing,wowtbc.gg
warrior,arms,Bracers of Maliciousness,wrist,3,Karazhan,wowtbc.gg
warrior,arms,Spymistress's Wristguards,wrist,4,Quest - The Soul Devices,wowtbc.gg
warrior,arms,Ebon Netherscale Bracers,wrist,5,Leatherworking,wowtbc.gg
warrior,arms,Nightstalker's Wristguards,wrist,6,Quest - Down With Daellis,wowtbc.gg
warrior,arms,General's Plate Bracers,wrist,7,PvP,wowtbc.gg
warrior,arms,Primalstrike Bracers,wrist,8,Leatherworking,wowtbc.gg
warrior,arms,Fel Leather Gloves,hands,1,Leatherworking,wowtbc.gg
warrior,arms,Gloves of the Fallen Defender,hands,2,Karazhan,wowtbc.gg
warrior,arms,Gauntlets of Martial Perfection,hands,3,Gruul's Lair,wowtbc.gg
warrior,arms,Liar's Tongue Gloves,hands,4,Magtheridon's Lair,wowtbc.gg
warrior,arms,Windstrike Gloves,hands,5,Leatherworking,wowtbc.gg
warrior,arms,Predatory Gloves,hands,6,Mana-Tombs (HC),wowtbc.gg
warrior,arms,Handgrips of Assassination,hands,7,Black Morass,wowtbc.gg
warrior,arms,Grips of Deftness,hands,8,Karazhan,wowtbc.gg
warrior,arms,Girdle of the Endless Pit,waist,1,Magtheridon's Lair,wowtbc.gg
warrior,arms,Rune-Engraved Belt,waist,2,Quest - Fel Embers (A),wowtbc.gg
warrior,arms,Girdle of the Deathdealer,waist,3,Black Morass (HC),wowtbc.gg
warrior,arms,Gronn-Stitched Girdle,waist,4,Gruul's Lair,wowtbc.gg
warrior,arms,Socrethar's Girdle,waist,5,Quest - Turning Point (Scryers),wowtbc.gg
warrior,arms,Shattrath's Champion Belt,waist,6,Quest - How to Break Into the Arcatraz,wowtbc.gg
warrior,arms,Girdle of the Prowler,waist,7,Karazhan,wowtbc.gg
warrior,arms,Girdle of the Mentor,waist,8,Naxxramas,wowtbc.gg
warrior,arms,Skulker's Greaves,legs,1,Karazhan,wowtbc.gg
warrior,arms,Fel Leather Leggings,legs,2,Leatherworking,wowtbc.gg
warrior,arms,Scaled Greaves of the Marksman,legs,3,World Boss,wowtbc.gg
warrior,arms,Midnight Legguards,legs,4,Slave Pens (HC),wowtbc.gg
warrior,arms,Legguards of the Shattered Hand,legs,5,Auction House,wowtbc.gg
warrior,arms,Clefthoof Hide Leggings,legs,6,Quest - Showdown,wowtbc.gg
warrior,arms,Oilcloth Breeches,legs,7,Quest - Showdown,wowtbc.gg
warrior,arms,Gladiator's Plate Legguards,legs,8,PvP,wowtbc.gg
warrior,arms,Fel Leather Boots,feet,1,Leatherworking,wowtbc.gg
warrior,arms,Edgewalker Longboots,feet,2,Karazhan,wowtbc.gg
warrior,arms,Fiend Slayer Boots,feet,3,Karazhan,wowtbc.gg
warrior,arms,Boots of the Unjust,feet,4,Auchenai Crypts (HC),wowtbc.gg
warrior,arms,Ironstriders of Urgency,feet,5,Karazhan,wowtbc.gg
warrior,arms,The Master's Treads,feet,6,Auction House,wowtbc.gg
warrior,arms,Rapscallion Boots,feet,7,Karazhan,wowtbc.gg
warrior,arms,Ferocious Swift-Kickers,feet,8,Karazhan,wowtbc.gg
warrior,arms,Ring of a Thousand Marks,finger,1,Karazhan,wowtbc.gg
